user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,email,username,price,store_id,raw_timestamp,status
1057,2024-01-13,East,Furniture,3695.53,Pune,23,Standard,,user1,3695.53,7,2024-01-13 23:17:15,Completed
1258,2024-11-04,South,Furniture,2273.58,Kolkata,18,Premium,user2@example.com,user2,2273.58,5,2024-11-04 00:35:12,Completed
1172,2024-02-22,North,Clothing,3038.44,Hyderabad,47,Standard,user3@example.com,user3,3038.44,3,2024-02-22 02:24:06,
1150,2024-11-17,North,Sports,1001.83,Hyderabad,32,Basic,user4@example.com,user4,,4,2024-11-17 19:56:55,Pending
1142,2024-08-20,East,Clothing,1808.59,Hyderabad,59,Premium,user5@example.com,user5,1808.59,8,2024-08-20 20:53:23,Completed
1236,2024-07-13,East,Clothing,4222.12,Delhi,20,Basic,user6@example.com,user6,4222.12,19,2024-07-13 08:59:40,
1161,2024-04-18,South,Furniture,1361.16,Pune,52,Basic,user7@example.com,user7,1361.16,19,2024-04-18 20:31:25,Pending
1185,2024-04-22,West,Electronics,4312.46,Delhi,45,Standard,user8@example.com,user8,4312.46,15,2024-04-22 04:32:31,
1128,2024-10-10,West,Sports,3766.85,Jaipur,25,Basic,user9@example.com,user9,3766.85,9,2024-10-10 00:43:46,
1091,2024-09-16,North,Sports,3064.4,Kolkata,28,Standard,user10@example.com,user10,3064.4,1,2024-09-16 03:55:40,
1165,2024-09-07,North,Clothing,1235.29,Pune,23,Premium,user11@example.com,user11,1235.29,18,2024-09-07 00:07:59,Completed
1065,2024-12-03,North,Sports,4368.54,Delhi,52,Standard,user12@example.com,user12,4368.54,13,2024-12-03 15:35:10,
1191,2024-08-12,East,Furniture,366.93,Pune,32,Standard,user13@example.com,user13,,2,2024-08-12 16:28:07,Completed
1034,2024-01-17,East,Clothing,3361.44,Delhi,54,Standard,user14@example.com,user14,3361.44,14,2024-01-17 10:04:32,Completed
1048,2024-02-19,South,Grocery,2361.77,Hyderabad,59,Standard,user15@example.com,user15,2361.77,11,2024-02-19 21:27:22,Completed
1127,2024-04-08,East,Grocery,958.27,Kolkata,22,Basic,user16@example.com,user16,958.27,4,2024-04-08 06:34:28,Completed
1276,2024-01-08,East,Furniture,2061.75,Kolkata,43,Premium,,user17,2061.75,13,2024-01-08 02:59:48,Pending
1232,2024-05-26,South,Furniture,989.99,Mumbai,55,Standard,user18@example.com,user18,989.99,2,2024-05-26 13:44:46,Completed
1299,2024-09-01,East,Electronics,4805.86,Delhi,22,Standard,user19@example.com,user19,4805.86,13,2024-09-01 16:58:54,Completed
